,address,cars,bluecar_counter,utilib_counter,utilib_1.4_counter,charge_slots,charging_status,city,id,kind,geo_point,postal_code,public_name,rental_status,slots,station_type,year,month,day,hour,minute
3200,135 avenue de verdun,6,6,0,0,0,nonexistent,issy-les-moulineaux,issylesmoulineaux-verdun-135,station,"48.81855, 2.25291",92130,issy-les-moulineaux/verdun/135,operational,0,station,2018,4,6,4,34
3201,21 bis rue notre-dame des victoires,0,0,0,0,0,nonexistent,paris,paris-notredamedesvictoires-21,station,"48.8696994, 2.3423247",75002,paris/notre-dame des victoires/21,operational,4,station,2018,4,9,23,58
3202,2 rue marcel monge,2,2,0,0,0,operational,suresnes,suresnes-marcelmonge-2,station,"48.86121, 2.224382",92150,suresnes/marcel monge/2,operational,2,station,2018,4,7,23,48
3203,28 rue d'aumale,0,0,0,0,0,nonexistent,paris,paris-aumale-28,station,"48.878643, 2.3347774",75009,paris/aumale/28,operational,4,station,2018,4,7,14,57
3204,23 rue des bernardins,1,1,0,0,2,operational,paris,paris-bernardins-23,station,"48.84934, 2.350152",75005,paris/bernardins/23,operational,4,station,2018,4,2,9,3
3205,56 rue des plantes,4,4,0,0,0,operational,paris,paris-plantes-56,station,"48.8283698, 2.3216963",75014,paris/plantes/56,operational,0,station,2018,4,1,12,9
3206,31 rue beaurepaire,0,0,0,0,1,operational,paris,paris-beaurepaire-31,station,"48.87119, 2.364206",75010,paris/beaurepaire/31,operational,5,station,2018,4,2,8,39
3207,100 boulevard de la libertã©,0,0,0,0,0,nonexistent,chã¢tillon,chatillon-liberte-100,station,"48.798768, 2.294377",92320,chã¢tillon/libertã©/100,broken,0,station,2018,4,3,20,26
3208,1 rue jules romains,4,4,0,1,0,operational,paris,paris-julesromains-1,space,"48.8727407, 2.3782985",75019,paris/jules romains/1,operational,0,full_station,2018,4,3,9,35
3209,109 rue du 8 mai 1945,4,4,0,0,0,nonexistent,nanterre,nanterre-8mai1945-109,station,"48.8926309, 2.2063258",92000,nanterre/8 mai 1945/109,operational,2,station,2018,4,3,17,18
3210,11 rue gerbert,1,1,0,0,1,operational,paris,paris-gerbert-11,station,"48.8395783, 2.2986453",75015,paris/gerbert/11,operational,3,station,2018,4,2,16,40
3211,59 avenue marceau,3,3,0,0,0,operational,paris,paris-marceau-59,station,"48.8698929, 2.2976445",75016,paris/marceau/59,operational,0,station,2018,4,6,10,0
3212,3 rue des halles,0,0,0,0,0,nonexistent,paris,paris-halles-3,space,"48.8589371, 2.347433",75001,paris/halles/3,broken,0,full_station,2018,4,5,14,14
